Root,Transliteration,Meaning,Voice,Class
वाश्,vash,"to howl, \nto growl, \nto roar",,
वस्क्,vask,to go\nto move,,
वस्त्,vast,"to hurt, \nto \ntorment, \nto go, \nto ask",,
वट्,vat,"to cover\nto surround\nto speak\nto tie, \nto string, \nto connect, \nto divide",,
वात्,vat,"to make happy, \nto serve\nto fan",,
वठ्,vath,to become fat\nto go alone\nto tie,,
वावृत्,vavrit,to choose,,
वय्,vay,to go\nto move,,
वे,ve,"to weave, \nto sew, \nto compose",,
वेह्,veh,to endeavour,,
वेल्,vel,"to count the time\nto go, \nto move\nto shake\nto tremble",,
वेण्,ven,"to go, \nto know, \nto consider, \nto play on an instrument, \nto take",,
वेप्,vep,"to tremble, \nto shake",,
वेष्ट्,vesht,"to surround, \nto dress",,
वेथ्,veth,"to beg, \nto ask",,
वेवी,vevi,"to go, \nto pervade, \nto be born, \nto impregnate, \nto desire, \nto throw, \nto eat",,
वी,vi,to go\nto pervade\nto be born\nto be impregnate\nto desire\nto throw\nto eat\nto conceive,,
विच्,vich,"to divide, \nto separate, \nto discern, \nto remove from",,
विच्छ्,vichchh,"to go, \nto move\nto speak, \nto shine",,
विद्,vid,"to be, \nto exist\nto discuss, \nto reason upon, \nto consider, \nto understand\nto feel, \nto experience, \nto tell, \nto dwell\nto get, \nto obtain, \nto find, \nto take in marriage\nto know\nto learn\nto find out\nto consider",,
विडम्ब्,vidamb,"to mock, \nto imitate, \nto ridicule",,
विध्,vidh,to pierce,,
विज्,vij,"to fear, \nto tremble\nto fear, \nto tremble, \nto be disgusted\nto separate, \nto divide, \nto distinguish, \nto discern",,
वीज्,vij,to fan,,
विल्,vil,"to cover, \nto conceal\nto throw, \nto cast",,
वीर्,vir,"to display heroism, \nto be powerful",,
विस्,vis,to send,,
विश्,vish,to enter,,
विष्,vish,to pervade\nto separate\nto disjoin\nto sprinkle,,
विष्क्,vishk,"to see, \nto perceive",,
विट्,vit,to curse\nto sound,,
विथ्,vith,to beg\nto ask,,
व्ली,vli,"to choose, \nto select, \nto hold, \nto go",,
व्रज्,vraj,"to clear the way, \nto go\nto go",,
व्रण्,vran,"to sound\nto wound, \nto hurt",,
व्रश्च्,vrashch,"to cut, \nto tear, \nto wound",,
वृ,vri,"to choose\nto select\nto choose\nto solicit\nto cover\nto surround\nto restrain\nto cover, \nto conceal\nto cover\nto conceal\nto serve\nto worship",,
व्री,vri,"to choose\nto choose, \nto select, \nto hold, \nto go",,
वृच्,vrich,"to abandon, \nto exclude",,
व्रीड्,vrid,"to throw, \nto be ashamed",,
वृध्,vridh,"to incrase, \nto grow, \nto continue, \nto become joyful",,
वृह्,vrih,"to work, \nto labour",,
वृज्,vrij,"to avoid\nto avoid\nto avoid\nto avoid, \nto abandon",,
वृक्,vrik,to accept\nto seize,,
वृक्ष्,vriksh,to cover,,
वृण्,vrin,"to please, \nto gratify",,
वृंह्,vrinh,"to speak, \nto shine",,
वृश्,vrish,"to choose, \nto like",,
वृष्,vrish,"to have the power of production\nto rain, \nto sprinkle, \nto kill, \nto afflict, \nto give pain",,
वृत्,vrit,"to be\nto happen\nto be presen\nto act\nto tend \nto\nto choose, \nto like\nto speak, \nto shine",,
व्रुड्,vrud,"to cover, \nto heap",,
वुङ्ग्,vung,"to abandon, \nto leave",,
वुण्ट्,vunt,vuṣ to kill,,
वुस्,vus,to divide,,
व्यच्,vyach,"to deceive, \nto defraud",,
व्यध्,vyadh,"to strike, \nto hurt, \nto stab, \nto pierce",,
व्यथ्,vyath,"to be vexed, \nto fear, \nto become dry",,
व्यय्,vyay,"to expend\nto go, \nto move",,
व्ये,vye,"to cover, \nto veil",,
व्युष्,vyush,"to divide, \nto burn",,
या,ya,to go\nto attend \nto\nto go or pass away\nto attempt\nto perceive,,
यभ्,yabh,to cohabit,,
याच्,yach,"to beg, \nto ask, \nto solicit",,
यज्,yaj,"to make an oblation \nto a deity, \nto associate with, \nto sacrifice, \nto worship, \nto give",,
यक्ष्,yaksh,to honour,,
यम्,yam,"to check, \nto s\ntop\nto cover, \nto surround",,
यन्त्र्,yantr,"to restrain, \nto bind",,
यस्,yas,"to endeavour\nto strive, \nto endeavour, \nto labour",,
यत्,yat,"to strive after, \nto be watchful\nto \ntorture, \nto encourage",,
यौट्,yaut,to bind,,
येष्,yesh,"to try, \nto attempt",,
यु,yu,"to bind\nto censure, \nto despise\nto mix\nto join\nto separate",,
युच्छ्,yuchchh,"to err, \nto be negligent",,
युध्,yudh,"to fight, \nto contend with",A,4
युज्,yuj,"to bind, \nto restrain\nto join, \nto unite, \nto apply, \nto use, \nto meditate, \nto concentrate the mind, \nto prepare, \nto grant, \nto intend\nto meditate, \nto curb one’s mind, \nto concentrate the mind\nto unite, \nto bind, \nto yoke",,
युङ्ग्,yung,"to abandon, \nto desert",,
युप्,yup,to confuse,,
युष्,yush,"to injure, hurt or kill\nto serve",,
युत्,yut,to shine,,
