Root,Transliteration,Meaning,Voice,Class
गर्द्,gard,to sound,,
गर्द्ग्र्द्,gardgrd,to play,,
गर्ध्,gardh,to desire,,
गर्ह्,garh,"to blame\nto censure\nto censure, \nto blame",,
गर्ज्,garj,to roar\nto growl\nto thunder\nto roar,,
गर्व्,garv,to be proud\nto be proud,,
गवेष्,gavesh,"to seek, \nto hunt after",,
गेप्,gep,to shake,,
गेष्,gesh,to search\nto investigate,,
गेव्,gev,to seve,,
घघ्,ghagh,to laugh,,
घण्ट्,ghant,"to speak, \nto shine\nto speak\nto shine",,
घर्ब्,gharb,to go,,
घस्,ghas,to eat\nto devour,,
घट्,ghat,"to act\nto be intently occupied with\nto happen\nto be united with\nto come \nto, \nto reach\nto move,t o collect, \nto speak",,
घट्ट्,ghatt,"to shake\nto shake, \nto stir",,
घिण्ण्,ghinn,to take,,
घ्रा,ghra,to smell,,
घृ,ghri,"to sprinkle, \nto shine\nto sprinkle, \nto cover",,
घृण्,ghrin,"to shine, \nto burn",,
घृण्ण्,ghrinn,to take,,
घृष्,ghrish,"to grind, \nto pound, \nto strike, \nto rub, \nto brush, \nto polish",,
घु,ghu,to sound,,
घुण्,ghun,to roll\nto stagger\nto reel,,
घुण्ण्,ghunn,to take,,
घुंष्,ghunsh,to diffuse lustre,,
घुर्,ghur,to frighten\nto sound,,
घूर्,ghur,"to kill, \nto become old",,
घूर्ण्,ghurn,to roll\nto whirl\nto whirl\nto roll\nto reel,,
घुष्,ghush,"to be beautiful or brilliant\nto proclaim, \nto announce\nto sound, \nto proclaim",,
घुट्,ghut,to strike against\nto return\nto exchange,,
ग्लै,glai,"to despond, \nto wane\nto be fatigued",P,1
ग्लेप्,glep,to be poor or miserable\nto shake,,
ग्लेष्,glesh,to seek,,
ग्लेव्,glev,to serve or worship,,
ग्लुच्,gluch,to go,,
ग्लुह्,gluh,to take,,
ग्Oम्,gom,"to smear, \nto anoint",,
ग्Oष्ट्,gosht,to assemble\nto collect\nto heap \ntogether,,
ग्रह्,grah,to take\nto captivate\nto buy\nto understand,,
ग्राम्,gram,"to invite, \nto conceal",,
ग्रन्थ्,granth,"to be crooked or wicked, \nto bend\nto bind, \nto arrange\nto bind, \nto arrange in a regular order\nto put \ntogether\nto compose\nto arrange, \nto fasten",,
ग्रस्,gras,"to eat\nto devour, \nto swallow\nto consume\nto seize\nto eclipse\nto destroy\nto take, \nto devour",A,1
गृ,gri,"to know\nto sound\nto speak\nto praise\nto sprinkle, \nto wet\nto swallow",,
गृध्,gridh,"to covet, \nto long for",,
गृह्,grih,"to take, \nto seize\nto take\nto seize",,
गृज्,grij,"to sound, \nto roar, \nto grumble",,
ग्रुच्,gruch,to steal,,
गु,gu,to speak inarticulately\nto void or discharge excrement,,
गुड्,gud,to protect,,
गुद्,gud,to play,,
गुध्,gudh,to be angry\nto cover\nto play,,
गुह्,guh,to cover\nto hide,U,1
गुज्,guj,"to hum or buzz\nto hum or buzz, \nto sound inarticulately\nto sound",P,1
गुण्,gun,"to invite, \nto advise, \nto multiply",,
गुण्ड्,gund,"to enclose, \nto protect, \nto pound\nto envelope, \nto protect, \nto pound",,
गुन्द्,gund,to tell a lie,,
गुण्ठ्,gunth,"to enclose, \nto envelop\nto enclose\nto envelope",,
गुप्,gup,"to be confused or disturbed\nto censure\nto despise, \nto hide\nto protect, \nto conceal\nto speak, \nto conceal, \nto shine",P,1
गुफ्,guph,to string \ntogether,,
गुर्,gur,"to kill, \nto go\nto make an effort",,
गूर्,gur,to make an effort,,
गुर्द्,gurd,to dwell,,
गूर्द्,gurd,to praise,,
गुर्व्,gurv,"to endeavour, \nto elevate",,
हा,ha,"to abandon, \nto leave, \nto desert, \nto omit, \nto neglect\nto go, \nto aggain\nto go, \nto attain",,
हद्,had,to void or discharge excrement,,
हाद्,had,"to sound, \nto row",,
हग्,hag,"to cover, \nto conceal",,
हल्,hal,"to express amorous inclinations\nto plough, \nto make furrows, \nto go\nto shake, \nto go",,
हम्म्,hamm,"to go, \nto move",,
हन्,han,"to kill, \nto go",P,2
हर्य्,hary,"to go, \nto shine",,
हस्,has,"to laugh, \nto smile, \nto joke, \nto open, \nto resemble, \nto ridicule\nto sound, \nto become small",,
हट्,hat,to shine,,
हठ्,hath,"to leap, \nto be wicked, \nto treat with violence",,
हेड्,hed,"to disrgard\nto surround, \nto clothe",,
हेष्,hesh,"to bray\nto roar,  \nto neigh",,
हेट्,het,"to be wicked, \nto vex",,
हेठ्,heth,"to be wicked, \nto vex, \nto hinder",,
हि,hi,to go\nto grow,,
हीछ्,hichh,"to be ashamed or modest, \nto blush",,
हिड्,hid,"to go, \nto wander, \nto disregard",,
हिक्क्,hikk,"to injure, \nto kill\nto make any indistinct sound",,
हिंस्,hins,to kill\nto kill,,
हिन्व्,hinv,"to please, \nto satisfy",,
हिष्क्,hishk,"to injure, \nto kill",,
हिट्,hit,"to curse, \nto swear, \nto shout",,
हिठ,hitha,"to be born again, \nto come forth",,
ह्लाद्,hlad,"to sound, \nto be glad",,
ह्लग्,hlag,"to cover, \nto conceal",,
ह्लस्,hlas,to sound,,
ह्नु,hnu,"to conceal, \nto take away, \nto deny",,
ह्Oड्,hod,"to disregard\nto go, \nto move",,
ह्रेष्,hresh,"to neigh , \nto go, \nto creep",,
हृ,hri,"to take forcibly\nto carry, \nto bring, \nto take, \nto steal, \nto acquire, \nto captivate, \nto charm",,
हृष्,hrish,"to rejoice, \nto exult, \nto stand erect as hair\nto tell a lie",,
हु,hu,"to sacrifice, \nto eat, \nto please",P,3
हुड्,hud,to collect\nto go,,
हूड्,hud,to go,,
हुल्,hul,to go,,
हुण्ड्,hund,"to collect, \nto select, \nto take away",,
हुर्छ्,hurchh,"to be crooked, \nto deceive",,
ह्वल्,hval,"to move, \nto shake, \nto be confused, \nto be afflicted",,
ह्वे,hve,"to vie with, \nto challenge, \nto call, \nto ask, \nto invoke",,
ह्वृ,hvri,"to be crooked, \nto deceive",,
इ,i,"to go\nto go\nto study\nto think of, \nto remember",,
